ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,daily_return,cumulative_return,ma5,ma20,month,signal,position,strategy_return,strategy_cumulative_return
002594.SZ,2025-10-21,104.69,105.07,104.24,104.76,104.52,0.24,0.2296,299074.19,3133789.475,0.0022962112514353095,-0.713378932968536,105.554,107.36699999999999,2025-10,0,0.0,0.0,-0.7022006368828746
002594.SZ,2025-10-22,104.1,104.32,103.37,103.78,104.76,-0.98,-0.9355,357874.19,3715302.136,-0.009354715540282554,-0.7160601915184677,104.89000000000001,107.16599999999998,2025-10,0,0.0,-0.0,-0.7022006368828746
002594.SZ,2025-10-23,103.3,103.73,102.0,103.69,103.78,-0.09,-0.0867,378603.42,3889661.811,-0.000867219117363649,-0.7163064295485634,104.23599999999999,106.801,2025-10,0,0.0,-0.0,-0.7022006368828746
002594.SZ,2025-10-24,103.98,104.37,103.61,103.76,103.69,0.07,0.0675,305542.68,3173964.302,0.0006750892082167947,-0.7161149110807111,104.102,106.50349999999999,2025-10,0,0.0,0.0,-0.7022006368828746
002594.SZ,2025-10-27,104.0,104.97,103.88,104.01,103.76,0.25,0.2409,345987.84,3607756.848,0.0024094063222821482,-0.7154309165526673,104.0,106.24949999999998,2025-10,0,0.0,0.0,-0.7022006368828746
002594.SZ,2025-10-28,104.02,104.32,103.5,103.72,104.01,-0.29,-0.2788,265415.83,2755526.047,-0.002788193442938236,-0.7162243502051981,103.792,106.03599999999999,2025-10,0,0.0,-0.0,-0.7022006368828746
002594.SZ,2025-10-29,103.73,105.18,103.0,104.52,103.72,0.8,0.7713,397340.4,4128608.369,0.007713073659853409,-0.7140355677154582,103.94000000000001,105.982,2025-10,0,0.0,0.0,-0.7022006368828746
002594.SZ,2025-10-30,104.0,104.86,103.5,103.61,104.52,-0.91,-0.8706,358989.45,3733925.603,-0.008706467661691475,-0.7165253077975374,103.924,105.877,2025-10,0,0.0,-0.0,-0.7022006368828746
002594.SZ,2025-10-31,101.0,101.32,100.0,100.79,103.61,-2.82,-2.7217,637052.59,6418551.106,-0.027217450053083625,-0.7242407660738712,103.33,105.5415,2025-10,0,0.0,-0.0,-0.7022006368828746
002594.SZ,2025-11-03,100.79,100.99,98.5,99.6,100.79,-1.19,-1.1807,551670.21,5472679.665,-0.011806726857823358,-0.7274965800273596,102.44800000000001,105.157,2025-11,0,0.0,-0.0,-0.7022006368828746
002594.SZ,2025-11-04,99.0,99.54,97.71,97.8,99.6,-1.8,-1.8072,435017.04,4274197.474,-0.01807228915662651,-0.7324213406292748,101.26399999999998,104.6165,2025-11,0,0.0,-0.0,-0.7022006368828746
002594.SZ,2025-11-05,96.66,96.66,94.73,95.8,97.8,-2.0,-2.045,587215.1,5617215.879,-0.020449897750511203,-0.737893296853625,99.52,103.946,2025-11,0,0.0,-0.0,-0.7022006368828746
002594.SZ,2025-11-06,95.58,97.75,95.4,97.52,95.8,1.72,1.7954,402003.67,3897723.836,0.017954070981210934,-0.7331874145006838,98.30199999999999,103.292,2025-11,0,0.0,0.0,-0.7022006368828746
002594.SZ,2025-11-07,97.0,98.15,96.83,97.2,97.52,-0.32,-0.3281,322560.73,3145817.991,-0.003281378178835004,-0.7340629274965798,97.584,102.7625,2025-11,0,0.0,-0.0,-0.7022006368828746
002594.SZ,2025-11-10,97.35,100.35,97.35,99.39,97.2,2.19,2.2531,554876.9,5513238.813,0.02253086419753081,-0.7280711354309164,97.542,102.44749999999999,2025-11,0,0.0,0.0,-0.7022006368828746
002594.SZ,2025-11-11,99.5,99.78,98.14,98.71,99.39,-0.68,-0.6842,319857.88,3161124.11,-0.006841734580943837,-0.7299316005471954,97.72399999999999,102.08349999999999,2025-11,0,0.0,-0.0,-0.7022006368828746
002594.SZ,2025-11-12,98.8,98.99,97.54,97.77,98.71,-0.94,-0.9523,260643.35,2555847.684,-0.00952284469658593,-0.73250341997264,98.11800000000001,101.61699999999999,2025-11,0,0.0,-0.0,-0.7022006368828746
002594.SZ,2025-11-13,97.01,100.5,97.01,99.83,97.77,2.06,2.107,579990.22,5759429.264,0.021069857829600025,-0.7268673050615593,98.58000000000001,101.26050000000001,2025-11,0,0.0,0.0,-0.7022006368828746
002594.SZ,2025-11-14,99.0,100.5,98.33,98.37,99.83,-1.46,-1.4625,342984.66,3396134.916,-0.014624862265851912,-0.7308618331053349,98.814,100.9575,2025-11,0,0.0,-0.0,-0.7022006368828746
002594.SZ,2025-11-17,97.8,98.59,97.25,98.08,98.37,-0.29,-0.2948,207247.59,2029207.779,-0.0029480532682729654,-0.7316552667578657,98.55199999999999,100.63550000000001,2025-11,0,0.0,-0.0,-0.7022006368828746
002594.SZ,2025-11-18,97.54,97.85,96.02,96.49,98.08,-1.59,-1.6211,304756.45,2949162.765,-0.01621125611745522,-0.7360054719562242,98.108,100.222,2025-11,0,0.0,-0.0,-0.7022006368828746
002594.SZ,2025-11-19,96.4,96.66,95.01,95.17,96.49,-1.32,-1.368,348292.35,3327809.284,-0.013680174111306842,-0.7396169630642954,97.588,99.7915,2025-11,0,0.0,-0.0,-0.7022006368828746
