ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,daily_return,cumulative_return,ma5,ma20,month,stock_name,industry
601318.SH,2025-07-14,57.69,58.24,57.57,57.57,57.71,-0.14,-0.2426,449057.62,2598863.547,-0.0024259227170334574,0.13527903766515514,56.952,56.04200000000001,2025-07,中国平安,金融保险
601318.SH,2025-07-15,57.75,57.96,56.98,57.1,57.57,-0.47,-0.8164,441725.53,2535144.762,-0.008163974292166087,0.12601064878722168,57.081999999999994,56.185500000000005,2025-07,中国平安,金融保险
601318.SH,2025-07-16,57.17,57.24,56.21,56.83,57.1,-0.27,-0.4729,481824.6,2728239.344,-0.004728546409807355,0.120686255176494,57.26800000000001,56.3365,2025-07,中国平安,金融保险
601318.SH,2025-07-17,56.7,57.06,56.68,56.81,56.83,-0.02,-0.0352,277123.43,1575012.87,-0.00035192679922568804,0.12029185564977363,57.20399999999999,56.51700000000001,2025-07,中国平安,金融保险
601318.SH,2025-07-18,56.95,57.45,56.86,57.07,56.81,0.26,0.4577,436239.95,2492884.493,0.004576659038901587,0.125419049497141,57.076,56.633500000000005,2025-07,中国平安,金融保险
601318.SH,2025-07-21,57.15,57.75,56.9,57.19,57.07,0.12,0.2103,466733.43,2671242.929,0.002102680918170563,0.12778544665746439,57.0,56.738,2025-07,中国平安,金融保险
601318.SH,2025-07-22,57.19,57.2,56.1,56.7,57.19,-0.49,-0.8568,695203.25,3930402.694,-0.008567931456548217,0.11812265825281054,56.92,56.73350000000001,2025-07,中国平安,金融保险
601318.SH,2025-07-23,56.84,58.38,56.81,58.0,56.7,1.3,2.2928,869406.74,5020698.335,0.022927689594356204,0.1437586274896474,57.15400000000001,56.73950000000001,2025-07,中国平安,金融保险
601318.SH,2025-07-24,57.97,59.0,57.71,58.64,58.0,0.64,1.1034,707737.38,4142271.385,0.011034482758620623,0.15637941234470554,57.52,56.7925,2025-07,中国平安,金融保险
601318.SH,2025-07-25,58.3,58.55,57.82,58.08,58.64,-0.56,-0.955,508334.57,2958837.44,-0.009549795361528002,0.1453362255965296,57.722,56.84849999999999,2025-07,中国平安,金融保险
601318.SH,2025-07-28,58.2,60.2,58.2,60.09,58.08,2.01,3.4607,1221217.33,7297531.197,0.0346074380165291,0.1849733780319469,58.302,57.07900000000001,2025-07,中国平安,金融保险
601318.SH,2025-07-29,60.06,60.28,59.37,59.49,60.09,-0.6,-0.9985,566092.0,3380012.575,-0.00998502246630062,0.17314139223032976,58.86,57.2685,2025-07,中国平安,金融保险
601318.SH,2025-07-30,59.48,61.33,59.35,60.71,59.49,1.22,2.0508,921992.71,5600001.966,0.020507648344259444,0.19719976336028422,59.402,57.51350000000001,2025-07,中国平安,金融保险
